Miejscowoœæ;Powiat;Województwo
³ysiny;czêstochowski;œl¹skie
³yski;bia³ostocki;podlaskie
³yskornia;wieluñski;³ódzkie
³yskowo;tucholski;kujawsko-pomorskie
³ysobyki;wo³omiñski;mazowieckie
³ysogóra;go³dapski;warmiñsko-mazurskie
³ysokanie;wielicki;ma³opolskie
³yso³aje;³êczyñski;lubelskie
³yso³aje-kolonia;³êczyñski;lubelskie
³ysomice;s³upski;pomorskie
³ysomiczki;s³upski;pomorskie
³ysowody;ostrowiecki;œwiêtokrzyskie
³ysów;konecki;œwiêtokrzyskie
³ysów (³ysów-kolonia);siedlecki;mazowieckie
³yszkowice;proszowicki;ma³opolskie
³yœniewo Sierakowickie;kartuski;pomorskie
³y¿ki;³êczycki;³ódzkie
Macew;pleszewski;wielkopolskie
Macharce;augustowski;podlaskie
Machary;mr¹gowski;warmiñsko-mazurskie
Machcin;koœciañski;wielkopolskie
Machcinko;p³ocki;mazowieckie
Machcino;p³ocki;mazowieckie
Machliny;drawski;zachodniopomorskie
Machnacz;bia³ostocki;podlaskie
Machnatka;grójecki;mazowieckie
Machnatka-parcela;grójecki;mazowieckie
Machnice;trzebnicki;dolnoœl¹skie
Machnów Nowy;tomaszowski;lubelskie
Machnów Stary;tomaszowski;lubelskie
Machnówek;tomaszowski;lubelskie
Machnówka;kroœnieñski;podkarpackie
Machory;konecki;œwiêtokrzyskie
Machowa;dêbicki;podkarpackie
Machowica;goleniowski;zachodniopomorskie
Machowinko;s³upski;pomorskie
Machowinko (owczary);s³upski;pomorskie
Machowino;s³upski;pomorskie
Machowino (m¹cznik);s³upski;pomorskie
Machowo;nakielski;kujawsko-pomorskie
Machów;opolski;lubelskie
Maciejew;krotoszyñski;wielkopolskie
Maciejewo;gostyñski;wielkopolskie
Maciejki;kêtrzyñski;warmiñsko-mazurskie
Maciejkowa Góra;bia³ostocki;podlaskie
Maciejowa;nowos¹decki;ma³opolskie
Maciejowa Wola;go³dapski;warmiñsko-mazurskie
Maciejowice;grójecki;mazowieckie
Maciejowiec;lwówecki;dolnoœl¹skie
Maciejowiêta;go³dapski;warmiñsko-mazurskie
Maciejów;krasnostawski;lubelskie
Maciejów (rozalinów);zgierski;³ódzkie
Maciejów Nowy;lubelski;lubelskie
Maciejów Stary;lubelski;lubelskie
Maciejów Stary (cegielnia);lubelski;lubelskie
Maciejówka;grójecki;mazowieckie
Macierz;gryfiñski;zachodniopomorskie
Macierzysz;warszawski zachodni;mazowieckie
Macikowo;golubsko-dobrzyñski;kujawsko-pomorskie
Maciowakrze;kêdzierzyñsko-kozielski;opolskie
Maciszewice;sieradzki;³ódzkie
Macoszyn Du¿y;w³odawski;lubelskie
Macoszyn Ma³y;w³odawski;lubelskie
Macoszyn Ma³y (k³êbiki);w³odawski;lubelskie
Maczków;s³ubicki;lubuskie
Maæki;wêgorzewski;warmiñsko-mazurskie
Maækowa Ruda;sejneñski;podlaskie
Maækowice;przemyski;podkarpackie
Maækowice (wola Maækowska);przemyski;podkarpackie
Maækowicze;siemiatycki;podlaskie
Maækowicze (kudelicze);siemiatycki;podlaskie
Maækowicze (olchowicze);siemiatycki;podlaskie
Maækowicze (stankowicze);siemiatycki;podlaskie
Maækówka;przeworski;podkarpackie
Madaje Nowe;pabianicki;³ódzkie
Madajka;poddêbicki;³ódzkie
Madalin;czêstochowski;œl¹skie
Madeje Stare;poddêbicki;³ódzkie
Made³y;wieluñski;³ódzkie
Magdaleniec;inowroc³awski;kujawsko-pomorskie
Magdalenka;piaseczyñski;mazowieckie
Magdalenki;radomszczañski;³ódzkie
Magdalenowo;suwalski;podlaskie
Magdalenów;be³chatowski;³ódzkie
Magierowa Wola;grójecki;mazowieckie
Magierów;radomski;mazowieckie
Magnice;wroc³awski;dolnoœl¹skie
Magnusy;³aski;³ódzkie
Magnusze;moniecki;podlaskie
Magnuszew;kozienicki;mazowieckie
Magnuszew (kruszyn);kozienicki;mazowieckie
Magnuszew Du¿y;makowski;mazowieckie
Magnuszew Du¿y (magnuszew);makowski;mazowieckie
Magnuszew Ma³y;makowski;mazowieckie
Magnuszewice;jarociñski;wielkopolskie
Magnuszowice;opolski;opolskie
Magnuszowiczki;opolski;opolskie
Magonie;ostrowiecki;œwiêtokrzyskie
Majaczewice;sieradzki;³ódzkie
Majdan;wêgrowski;mazowieckie
Majdan Abramowski;bi³gorajski;lubelskie
Majdan Bobowski;kraœnicki;lubelskie
Majdan Borowski;opolski;lubelskie
Majdan Borowski Drugi;krasnostawski;lubelskie
Majdan Borowski Pierwszy;krasnostawski;lubelskie
Majdan Borzechowski;lubelski;lubelskie
Majdan Brzezicki;œwidnicki;lubelskie
Majdan Golczañski;ni¿añski;podkarpackie
Majdan Golczañski (brzozowa Smuga);ni¿añski;podkarpackie
Majdan Górny;tomaszowski;lubelskie
Majdan Gromadzki;bi³gorajski;lubelskie
Majdan Kasztelañski;bi³gorajski;lubelskie
Majdan Kawêczyñski;œwidnicki;lubelskie
Majdan Kie³czewski (kocielnik);wêgrowski;mazowieckie
Majdan Kobylañski;krasnostawski;lubelskie
Majdan Kozic Dolnych;œwidnicki;lubelskie
Majdan Kozic Górnych;œwidnicki;lubelskie
Majdan Koz³owiecki;lubartowski;lubelskie
Majdan Krasieniñski;lubelski;lubelskie
Majdan Królewski;kolbuszowski;podkarpackie
Majdan Krynicki;krasnostawski;lubelskie
Majdan Krzywski;krasnostawski;lubelskie
Majdan Kukawiecki;che³mski;lubelskie
Majdan Leœniowski;che³mski;lubelskie
Majdan Lipowiecki;lubaczowski;podkarpackie
Majdan ³uczycki;krasnostawski;lubelskie
Majdan Ma³y;zamojski;lubelskie
Majdan Mêtowski;lubelski;lubelskie
Majdan Moniacki;kraœnicki;lubelskie
Majdan Nepryski;bi³gorajski;lubelskie
Majdan Nepryski (siedliska);bi³gorajski;lubelskie
Majdan Nepryski (tartak-d³ugi K¹t);bi³gorajski;lubelskie
Majdan Nowy;bi³gorajski;lubelskie
Majdan Ostrowski;che³mski;lubelskie
Majdan P³awanicki;che³mski;lubelskie
Majdan Policki;lubelski;lubelskie
Majdan Radliñski;lubelski;lubelskie
Majdan Ruszowski;zamojski;lubelskie
Majdan Sieniawski;przeworski;podkarpackie
Majdan Siostrzytowski;œwidnicki;lubelskie
Majdan Sitaniecki;zamojski;lubelskie
Majdan Skierbieszowski;zamojski;lubelskie
Majdan Skordiowski;che³mski;lubelskie
Majdan Skrzyniecki;lubelski;lubelskie
Majdan Sobieszczañski;lubelski;lubelskie
Majdan Sobieszczañski (leœniczówka);lubelski;lubelskie
Majdan Sobolewski;lubartowski;lubelskie
Majdan Sopocki Drugi;tomaszowski;lubelskie
Majdan Sopocki Pierwszy;tomaszowski;lubelskie
Majdan Starowiejski;lubelski;lubelskie
Majdan Stary;bi³gorajski;lubelskie
Majdan Stuleñski;w³odawski;lubelskie
Majdan Surhowski;krasnostawski;lubelskie
Majdan Suski;ostrowski;mazowieckie
Majdan œredni;krasnostawski;lubelskie
Majdan Trzebieski;opolski;lubelskie
Majdan Tuczêpski;zamojski;lubelskie
Majdan Wielki;hrubieszowski;lubelskie
Majdan Wielki (borki);zamojski;lubelskie
Majdan Wierzchowiñski;krasnostawski;lubelskie
Majdan Zahorodyñski;che³mski;lubelskie
Majdan Zbydniowski;stalowowolski;podkarpackie
Majdan Zbydniowski (branówka);stalowowolski;podkarpackie
Majdan Zbydniowski (godziszów);stalowowolski;podkarpackie
Majdan Zbydniowski (isep);stalowowolski;podkarpackie
Majdan Zbydniowski (urle);stalowowolski;podkarpackie
Majdan-grabina;kraœnicki;lubelskie
Majdan-obleszcze;kraœnicki;lubelskie
Majdan-sielec;tomaszowski;lubelskie
Majdanek;tomaszowski;lubelskie
Majdanek Kozicki;œwidnicki;lubelskie
Majdanki;szyd³owiecki;mazowieckie
Majdany;kozienicki;mazowieckie
Majdany Ma³e;ostródzki;warmiñsko-mazurskie
Majdany Wielkie;ostródzki;warmiñsko-mazurskie
Majdów;szyd³owiecki;mazowieckie
Majdy;olsztyñski;warmiñsko-mazurskie
Majewo;sierpecki;mazowieckie
Majewo Koœcielne;sokólski;podlaskie
Majk;ostro³êcki;mazowieckie
Majki;elbl¹ski;warmiñsko-mazurskie
Majki Du¿e;sierpecki;mazowieckie
Majki Ma³e;sierpecki;mazowieckie
Majki Ma³e (majki);sierpecki;mazowieckie
Majki-tykiewki;makowski;mazowieckie
Majkowice;bocheñski;ma³opolskie
Majków;skar¿yski;œwiêtokrzyskie
Majków (anna);skar¿yski;œwiêtokrzyskie
Majków Du¿y;piotrkowski;³ódzkie
Majków Ma³y;piotrkowski;³ódzkie
Majków œredni;piotrkowski;³ódzkie
Majków-folwark;piotrkowski;³ódzkie
Majm³awki;bartoszycki;warmiñsko-mazurskie
Majorat;kraœnicki;lubelskie
Majorowizna;bielski;podlaskie
Majówka;bia³ostocki;podlaskie
Majscowa;jasielski;podkarpackie
Mak;¿uromiñski;mazowieckie
Mak (wykno);¿uromiñski;mazowieckie
Makarki;siemiatycki;podlaskie
Makarówka;³osicki;mazowieckie
Makocice;proszowicki;ma³opolskie
Makomazy;sierpecki;mazowieckie
Makosieje;e³cki;warmiñsko-mazurskie
Makoszka;parczewski;lubelskie
Makoszyn;kielecki;œwiêtokrzyskie
Makowa;przemyski;podkarpackie
Makowczyce;oleski;opolskie
Makowica;limanowski;ma³opolskie
Makowice;nyski;opolskie
Makowice (makowiska);gryficki;zachodniopomorskie
Makowiczki;gryficki;zachodniopomorskie
Makowiec;radomski;mazowieckie
Makowiska;jasielski;podkarpackie
Makowiska (pó³anki);jasielski;podkarpackie
Makowisko;jaros³awski;podkarpackie
Makowisko (olchowa);jaros³awski;podkarpackie
Makowlany;sokólski;podlaskie
Makowo;i³awski;warmiñsko-mazurskie
Makowskie;³om¿yñski;podlaskie
Makowszczyzna;suwalski;podlaskie
Maków;skierniewicki;³ódzkie
Maków Mazowiecki;makowski;mazowieckie
Maków Nowy;radomski;mazowieckie
Maków Podhalañski;suski;ma³opolskie
Makówiec;lipnowski;kujawsko-pomorskie
Makówiec Du¿y;miñski;mazowieckie
Makówiec Ma³y;miñski;mazowieckie
Makówka;hajnowski;podlaskie
Makruty;olsztyñski;warmiñsko-mazurskie
Maksymilianowo;grodziski;wielkopolskie
Maksymilianów;poddêbicki;³ódzkie
Maksymów;koniñski;wielkopolskie
Malachin;chojnicki;pomorskie
Malamówka;garwoliñski;mazowieckie
Malankowo;che³miñski;kujawsko-pomorskie
Malanowo;sochaczewski;mazowieckie
Malanowo Nowe;sierpecki;mazowieckie
Malanowo Stare;sierpecki;mazowieckie
Malanów;pabianicki;³ódzkie
Malanówko;sierpecki;mazowieckie
Malary;starogardzki;pomorskie
Malawa;przemyski;podkarpackie
Malawa (dó³);rzeszowski;podkarpackie
Malawa (góra);rzeszowski;podkarpackie
Malawa (pañskie);rzeszowski;podkarpackie
Malawa (zagóra);rzeszowski;podkarpackie
Malawicze Dolne;sokólski;podlaskie
Malawicze Górne;sokólski;podlaskie
Malbork;malborski;pomorskie
Malbork (ka³dowo);malborski;pomorskie
Malbork (piaski);malborski;pomorskie
Malbork (rakowiec);malborski;pomorskie
Malbork (wielbark);malborski;pomorskie
Malcanów;otwocki;mazowieckie
Malczewo;gnieŸnieñski;wielkopolskie
Malczkowo;s³upski;pomorskie
Malczkówko;s³upski;pomorskie
Malczów;trzebnicki;dolnoœl¹skie
Malczyce;œredzki;dolnoœl¹skie
Malczyn;nowodworski;mazowieckie
Malec;wysokomazowiecki;podlaskie
Malechowo;s³awieñski;zachodniopomorskie
Malechówko;s³awieñski;zachodniopomorskie
Malechy;makowski;mazowieckie
Maleczewo;e³cki;warmiñsko-mazurskie
Malenia;³aski;³ódzkie
Malenie;poddêbicki;³ódzkie
Maleniec;konecki;œwiêtokrzyskie
Malenin;tczewski;pomorskie
Maleniska;le¿ajski;podkarpackie
Malentyn;gdañski;pomorskie
Malerzowice Ma³e;nyski;opolskie
Malerzowice Wielkie;nyski;opolskie
Malerzowice Wielkie (dworzysko);nyski;opolskie
Malerzów;oleœnicki;dolnoœl¹skie
Malesowizna;suwalski;podlaskie
Malesze;bielski;podlaskie
Maleszowa;kielecki;œwiêtokrzyskie
Maleszów;strzeliñski;dolnoœl¹skie
Malewice;siemiatycki;podlaskie
Malewo;p³oñski;mazowieckie
Malewo (œwiniary);kutnowski;³ódzkie
Malewszczyzna;zamojski;lubelskie
Malêcino;bytowski;pomorskie
Malhowice;przemyski;podkarpackie
Malice;sandomierski;œwiêtokrzyskie
Malice (gajek);sandomierski;œwiêtokrzyskie
Malice (jatki);sandomierski;œwiêtokrzyskie
Malice (kolonia Malice);hrubieszowski;lubelskie
Malice (sachalin);sandomierski;œwiêtokrzyskie
Malice Koœcielne;opatowski;œwiêtokrzyskie
Malin;trzebnicki;dolnoœl¹skie
Malin (kalina);trzebnicki;dolnoœl¹skie
Malina;radziejowski;kujawsko-pomorskie
Maliniak;ostródzki;warmiñsko-mazurskie
Malinie;janowski;lubelskie
Maliniec;janowski;lubelskie
Malinka;gi¿ycki;warmiñsko-mazurskie
Malinnik;ostródzki;warmiñsko-mazurskie
Malinniki;bielski;podlaskie
Malinowice;bêdziñski;œl¹skie
Malinowo;siemiatycki;podlaskie
Malinowo Nowe;ostro³êcki;mazowieckie
Malinowo Stare;ostro³êcki;mazowieckie
Malinowszczyzna;lubelski;lubelskie
Malinów;ostrzeszowski;wielkopolskie
Malinówka;brzozowski;podkarpackie
Malinówka Wielka (malinówka Ma³a);e³cki;warmiñsko-mazurskie
Maliszew;miñski;mazowieckie
Maliszewko;p³ocki;mazowieckie
Maliszewo;lipnowski;kujawsko-pomorskie
Maliszewo-³ynki;bia³ostocki;podlaskie
Maliszewo-perkusy;bia³ostocki;podlaskie
Maliszów;radomski;mazowieckie
Malkowice;staszowski;œwiêtokrzyskie
Malkowice (malkowice Dolne);staszowski;œwiêtokrzyskie
Malkowice (malkowice Górne);staszowski;œwiêtokrzyskie
Malków;opoczyñski;³ódzkie
Malmurzyn;kielecki;œwiêtokrzyskie
Malnia;krapkowicki;opolskie
Malonowo;bia³ogardzki;zachodniopomorskie
Malowa Góra;bialski;lubelskie
Malta;sulêciñski;lubuskie
Maluszyn;sierpecki;mazowieckie
Malutkie;radomszczañski;³ódzkie
Malu¿yn;ciechanowski;mazowieckie
Malwinowo;pu³tuski;mazowieckie
Mal¿yce;kazimierski;œwiêtokrzyskie
Mal¿yn;opatowski;œwiêtokrzyskie
Mal¿yn (marêcin);opatowski;œwiêtokrzyskie
Ma³a;ropczycko-sêdziszowski;podkarpackie
Ma³a Cerkwica;sêpoleñski;kujawsko-pomorskie
Ma³a Górka;wrzesiñski;wielkopolskie
Ma³a Huta;tucholski;kujawsko-pomorskie
Ma³a Kamienica;jeleniogórski;dolnoœl¹skie
Ma³a Kêpa;bydgoski;kujawsko-pomorskie
Ma³a Klonia;tucholski;kujawsko-pomorskie
Ma³a Komorza;tucholski;kujawsko-pomorskie
Ma³a Lipka;nowotomyski;wielkopolskie
Ma³a Nieszawka;toruñski;kujawsko-pomorskie
Ma³a S³oñca;tczewski;pomorskie
Ma³a Wieœ;wolsztyñski;wielkopolskie
Ma³a Wieœ Dolna;zgorzelecki;dolnoœl¹skie
Ma³a Wieœ Górna;zgorzelecki;dolnoœl¹skie
Ma³a Wieœ Przy Drodze;nowodworski;mazowieckie
Ma³a Wola;tomaszowski;³ódzkie
Ma³a Wólka;lipnowski;kujawsko-pomorskie
Ma³a Wysoka;bia³obrzeski;mazowieckie
Ma³acentów;kielecki;œwiêtokrzyskie
Ma³achowice;zgierski;³ódzkie
Ma³achowice-kolonia;zgierski;³ódzkie
Ma³achowo;³om¿yñski;podlaskie
Ma³achowo-kêpe;gnieŸnieñski;wielkopolskie
Ma³achowo-szemborowice;gnieŸnieñski;wielkopolskie
Ma³achowo-wierzbiczany;gnieŸnieñski;wielkopolskie
Ma³achowo-z³ych Miejsc;gnieŸnieñski;wielkopolskie
Ma³achowszczyzna;¿yrardowski;mazowieckie
Ma³achów;zawierciañski;œl¹skie
Ma³achów (wieœ);konecki;œwiêtokrzyskie
Ma³achów-kolonia;ostrowiecki;œwiêtokrzyskie
Ma³astów;gorlicki;ma³opolskie
Ma³astów (pêtna);gorlicki;ma³opolskie
Ma³aszek;wyszkowski;mazowieckie
Ma³aszewicze;bialski;lubelskie
Ma³aszewicze Du¿e;bialski;lubelskie
Ma³aszewicze Ma³e;bialski;lubelskie
Ma³aszowice;nowosolski;lubuskie
Ma³czew;brzeziñski;³ódzkie
Ma³daniec;szczycieñski;warmiñsko-mazurskie
Ma³dyty;ostródzki;warmiñsko-mazurskie
Ma³e;poddêbicki;³ódzkie
Ma³e Ba³ówki;nowomiejski;warmiñsko-mazurskie
Ma³e Bo¿e;bia³obrzeski;mazowieckie
Ma³e Budziska;tucholski;kujawsko-pomorskie
Ma³e Che³my;chojnicki;pomorskie
Ma³e Ciche;tatrzañski;ma³opolskie
Ma³e Ciche (tarasówka);tatrzañski;ma³opolskie
Ma³e Ciche (zgorzelisko);tatrzañski;ma³opolskie
Ma³e Czyste;che³miñski;kujawsko-pomorskie
Ma³e Drzewce;wschowski;lubuskie
Ma³e Gacno;tucholski;kujawsko-pomorskie
Ma³e Gliœno;chojnicki;pomorskie
Ma³e Gowino;wejherowski;pomorskie
Ma³e Jod³o;ostrowiecki;œwiêtokrzyskie
Ma³e Koñskie;opoczyñski;³ódzkie
Ma³e Krówno;starogardzki;pomorskie
Ma³e LeŸno;brodnicki;kujawsko-pomorskie
Ma³e Liniewo;koœcierski;pomorskie
Ma³e Lniska;grudzi¹dzki;kujawsko-pomorskie
Ma³e ³¹kie;œwiecki;kujawsko-pomorskie
Ma³e ³unawy;che³miñski;kujawsko-pomorskie
Ma³e Olecko;olecki;warmiñsko-mazurskie
Ma³e Pu³kowo;w¹brzeski;kujawsko-pomorskie
Ma³e Raczki;suwalski;podlaskie
Ma³e Radowiska;w¹brzeski;kujawsko-pomorskie
Ma³e Rokitki;tczewski;pomorskie
Ma³e Rudy;nakielski;kujawsko-pomorskie
Ma³e Subkowy;tczewski;pomorskie
Ma³e Swornegacie;chojnicki;pomorskie
Ma³e Walichnowy;tczewski;pomorskie
Ma³e Wêdo³y;chojnicki;pomorskie
Ma³e Wêgorzynko;³obeski;zachodniopomorskie
Ma³e Wios³o;tczewski;pomorskie
Ma³e Wyrêby;tczewski;pomorskie
Ma³e Zanie;chojnicki;pomorskie
Ma³e Zdunowice;kartuski;pomorskie
Ma³ec;d¹browski;ma³opolskie
Ma³ecz;tomaszowski;³ódzkie
Ma³êczyn;radomski;mazowieckie
Ma³êczyn (pieñki);radomski;mazowieckie
Ma³gorzacin;lipski;mazowieckie
Ma³gorzatka;brodnicki;kujawsko-pomorskie
Ma³gorzatów;rawski;³ódzkie
Ma³gów;kaliski;wielkopolskie
Ma³gów (stawy);gostyñski;wielkopolskie
Ma³ki;brodnicki;kujawsko-pomorskie
Ma³ki (czartówiec);brodnicki;kujawsko-pomorskie
Ma³kinia Dolna;ostrowski;mazowieckie
Ma³kinia Górna;ostrowski;mazowieckie
Ma³kinia Ma³a-przewóz;ostrowski;mazowieckie
Ma³kowice;wroc³awski;dolnoœl¹skie
Ma³kowo;kartuski;pomorskie
Ma³ków;hrubieszowski;lubelskie
Ma³ków (wid³y);³êczyñski;lubelskie
Ma³ków Nowy;hrubieszowski;lubelskie
Ma³ków-kolonia;hrubieszowski;lubelskie
Ma³ob¹dz;olkuski;ma³opolskie
Ma³obór;drawski;zachodniopomorskie
Ma³ochwiej Du¿y;krasnostawski;lubelskie
Ma³ochwiej Ma³y;krasnostawski;lubelskie
Ma³ocice;nowodworski;mazowieckie
Ma³ociechowo;œwiecki;kujawsko-pomorskie
Ma³ocin;nakielski;kujawsko-pomorskie
Ma³ogoskie;kielecki;œwiêtokrzyskie
Ma³ogoszcz;jêdrzejowski;œwiêtokrzyskie
Ma³olesie;gryfiñski;zachodniopomorskie
Ma³omice;¿agañski;lubuskie
Ma³omierzyce;radomski;mazowieckie
Ma³omin;lipnowski;kujawsko-pomorskie
Ma³oni¿;tomaszowski;lubelskie
Ma³opole;wo³omiñski;mazowieckie
Ma³oszewo;p³ocki;mazowieckie
Ma³oszki;œredzki;wielkopolskie
Ma³oszów;kazimierski;œwiêtokrzyskie
Ma³oszyce;zawierciañski;œl¹skie
Ma³oszyce (karny K¹t);opatowski;œwiêtokrzyskie
Ma³oszyna;turecki;wielkopolskie
Ma³oszywka;p³ocki;mazowieckie
Ma³owice;wo³owski;dolnoœl¹skie
Ma³owidz;przasnyski;mazowieckie
Ma³owista;sokólski;podlaskie
Ma³oziemce;w³odawski;lubelskie
Ma³ówka;strzy¿owski;podkarpackie
Ma³szewko;szczycieñski;warmiñsko-mazurskie
Ma³szewo;szczycieñski;warmiñsko-mazurskie
Ma³szyce;golubsko-dobrzyñski;kujawsko-pomorskie
Ma³ujowice;brzeski;opolskie
Ma³usy Ma³e;czêstochowski;œl¹skie
Ma³usy Wielkie;czêstochowski;œl¹skie
Ma³uszów;wroc³awski;dolnoœl¹skie
Ma³uszyn;trzebnicki;dolnoœl¹skie
Ma³y Baldram;kwidzyñski;pomorskie
Ma³y Borek;augustowski;podlaskie
Ma³y Bór;i³awski;warmiñsko-mazurskie
Ma³y Buczek;kêpiñski;wielkopolskie
Ma³y Bukowiec;starogardzki;pomorskie
Ma³y Dólsk;œwiecki;kujawsko-pomorskie
Ma³y Garc;tczewski;pomorskie
Ma³y G³êboczek;brodnicki;kujawsko-pomorskie
Ma³y G³êboczek (szerokie);brodnicki;kujawsko-pomorskie
Ma³y Jab³uszek;koœcierski;pomorskie
Ma³y Klincz;koœcierski;pomorskie
Ma³y Komorsk;œwiecki;kujawsko-pomorskie
Ma³y Las;¿uromiñski;mazowieckie
Ma³y ³êck;dzia³dowski;warmiñsko-mazurskie
Ma³y Mêdromierz;tucholski;kujawsko-pomorskie
Ma³y Mêdromierz (huby);tucholski;kujawsko-pomorskie
Ma³y Mêdromierz (nowa Tuchola);tucholski;kujawsko-pomorskie
Ma³y Mêdromierz (wysoka Wieœ);tucholski;kujawsko-pomorskie
Ma³y Mi³ob¹dz;tczewski;pomorskie
Ma³y P³ock;kolneñski;podlaskie
Ma³y Podleœ;koœcierski;pomorskie
Ma³y Rudnik;grudzi¹dzki;kujawsko-pomorskie
Ma³y Stanis³awów;miñski;mazowieckie
Ma³ynka;bia³ostocki;podlaskie
Ma³yñ;poddêbicki;³ódzkie
Ma³yszczyn;siemiatycki;podlaskie
Ma³yszyce;olkuski;ma³opolskie
Ma³yszyn;wieluñski;³ódzkie
Ma³yszyn Dolny;starachowicki;œwiêtokrzyskie
Ma³yszyn Górny;starachowicki;œwiêtokrzyskie
Ma³¿ewo;tczewski;pomorskie
Mamieñ;zgierski;³ódzkie
Mamino;makowski;mazowieckie
Mamlicz;¿niñski;kujawsko-pomorskie
Mamoty;pleszewski;wielkopolskie
Manasterz;jaros³awski;podkarpackie
Manasterz (mijów);przeworski;podkarpackie
Manasterz (niewaŸka);przeworski;podkarpackie
Manasterz (oblasek);przeworski;podkarpackie
Manasterz (rzeki);przeworski;podkarpackie
Manasterzec;leski;podkarpackie
Manie;bialski;lubelskie
Manieczki;œremski;wielkopolskie
Maniewo;obornicki;wielkopolskie
Maniowo;tczewski;pomorskie
Maniowy;nowotarski;ma³opolskie
Maniów;d¹browski;ma³opolskie
Maniów Ma³y;wroc³awski;dolnoœl¹skie
Maniów Wielki;wroc³awski;dolnoœl¹skie
Maniszewo;s³ubicki;lubuskie
Manowo;koszaliñski;zachodniopomorskie
Mansfeldy;dzia³dowski;warmiñsko-mazurskie
Many;piaseczyñski;mazowieckie
Mañczyce;strzeliñski;dolnoœl¹skie
Mañki;olsztyñski;warmiñsko-mazurskie
Mañkowice;nyski;opolskie
Mañkowice (bardno);nyski;opolskie
Mañkowo;p³ocki;mazowieckie
Maradki;mr¹gowski;warmiñsko-mazurskie
Maradki (g³odowo);mr¹gowski;warmiñsko-mazurskie
Maradki (maradzki Chojniak);mr¹gowski;warmiñsko-mazurskie
Maradki (wilamówko);mr¹gowski;warmiñsko-mazurskie
Mar¹zy;olsztyñski;warmiñsko-mazurskie
Marcelewo;bydgoski;kujawsko-pomorskie
Marcelin;zduñskowolski;³ódzkie
Marcelów;be³chatowski;³ódzkie
Marcelów (zygmuntów);zduñskowolski;³ódzkie
Marcewek;s³upecki;wielkopolskie
Marcewo;s³upecki;wielkopolskie
Marchaty;rawski;³ódzkie
Marchelówka;sokólski;podlaskie
Marchewki;e³cki;warmiñsko-mazurskie
Marchocice;miechowski;ma³opolskie
Marchwacz;kaliski;wielkopolskie
Marchwacz-kolonia;kaliski;wielkopolskie
Marchwice;milicki;dolnoœl¹skie
Marcinek;chodzieski;wielkopolskie
Marcinki;ostrzeszowski;wielkopolskie
Marcinki (stepna);ostrzeszowski;wielkopolskie
Marcinkowice;o³awski;dolnoœl¹skie
