0;Miasto;Powiat;Województwo;Populacja;Obszar
267;Dêblin;rycki;lubelskie;17 057;38 km?
268;Radzionków;tarnogórski;œl¹skie;17 025;13 km?
269;Gubin;kroœnieñski;lubuskie;17 006;21 km?
270;Nowogard;goleniowski;zachodniopomorskie;16 937;12,4 km?
271;Krapkowice;krapkowicki;opolskie;16 924;21 km?
272;Gryfice;gryficki;zachodniopomorskie;16 898;12,4 km?
273;S³ubice;s³ubicki;lubuskie;16 880;19,2 km?
274;Bytów;bytowski;pomorskie;16 842;8,7 km?
275;Rypin;rypiñski;kujawsko-pomorskie;16 834;10 km?
276;Strzegom;œwidnicki;dolnoœl¹skie;16 769;20,5 km?
277;Lêdziny;bieruñsko-lêdziñski;œl¹skie;16 737;32 km?
278;Busko-Zdrój;buski;œwiêtokrzyskie;16 694;12,3 km?
279;£omianki;warszawski zachodni;mazowieckie;16 639;8,4 km?
280;Olecko;olecki;warmiñsko-mazurskie;16 533;11,5 km?
281;Grójec;grójecki;mazowieckie;16 453;8,6 km?
282;Milanówek;grodziski;mazowieckie;16 410;13 km?
283;Lidzbark Warmiñski;lidzbarski;warmiñsko-mazurskie;16 352;14 km?
284;Ustka;s³upski;pomorskie;16 263;10 km?
285;Boguszów-Gorce;wa³brzyski;dolnoœl¹skie;16 216;27 km?
286;Radzyñ Podlaski;radzyñski;lubelskie;16 188;19 km?
287;Z³otoryja;z³otoryjski;dolnoœl¹skie;16 167;12 km?
288;Namys³ów;namys³owski;opolskie;16 123;22,6 km?
289;£apy;bia³ostocki;podlaskie;16 005;12,1 km?
290;Ustroñ;cieszyñski;œl¹skie;16 003;59 km?
291;Jelcz-Laskowice;o³awski;dolnoœl¹skie;15 959;17,1 km?
292;Jêdrzejów;jêdrzejowski;œwiêtokrzyskie;15 851;11,4 km?
293;Przeworsk;przeworski;podkarpackie;15 779;22 km?
294;Œwidwin;œwidwiñski;zachodniopomorskie;15 725;22 km?
295;Choszczno;choszczeñski;zachodniopomorskie;15 716;9,6 km?
296;Z¹bkowice Œl¹skie;z¹bkowicki;dolnoœl¹skie;15 707;13,7 km?
297;Ropczyce;ropczycko-sêdziszowski;podkarpackie;15 683;47,1 km?
298;Solec Kujawski;bydgoski;kujawsko-pomorskie;15 642;18,7 km?
299;Nisko;ni¿añski;podkarpackie;15 484;61 km?
300;Staszów;staszowski;œwiêtokrzyskie;15 384;26,9 km?
301;Limanowa;limanowski;ma³opolskie;15 133;19 km?
302;Lipno;lipnowski;kujawsko-pomorskie;14 968;11 km?
303;Che³m¿a;toruñski;kujawsko-pomorskie;14 967;7 km?
304;Nowy Tomyœl;nowotomyski;wielkopolskie;14 899;5,2 km?
305;Kartuzy;kartuski;pomorskie;14 866;6,8 km?
306;G³owno;zgierski;³ódzkie;14 814;20 km?
307;£êczyca;³êczycki;³ódzkie;14 786;9 km?
308;Siemiatycze;siemiatycki;podlaskie;14 766;36 km?
309;Skoczów;cieszyñski;œl¹skie;14 741;9,9 km?
310;Kêpno;kêpiñski;wielkopolskie;14 577;7,8 km?
311;Lubsko;¿arski;lubuskie;14 554;12,5 km?
312;Ostrzeszów;ostrzeszowski;wielkopolskie;14 515;12,1 km?
313;Cz³uchów;cz³uchowski;pomorskie;14 385;13 km?
314;Le¿ajsk;le¿ajski;podkarpackie;14 363;21 km?
315;Mor¹g;ostródzki;warmiñsko-mazurskie;14 361;6,1 km?
316;Grodzisk Wielkopolski;grodziski;wielkopolskie;14 339;18,2 km?
317;Wschowa;wschowski;lubuskie;14 313;8,4 km?
318;Nidzica;nidzicki;warmiñsko-mazurskie;14 300;6,9 km?
319;Barlinek;myœliborski;zachodniopomorskie;14 263;17,6 km?
320;G³ucho³azy;nyski;opolskie;14 257;6,8 km?
321;Pszów;wodzis³awski;œl¹skie;14 252;20 km?
322;Dar³owo;s³awieñski;zachodniopomorskie;14 229;20 km?
323;¯nin;¿niñski;kujawsko-pomorskie;14 181;8,4 km?
324;Chojnów;legnicki;dolnoœl¹skie;14 071;5 km?
325;Dêbno;myœliborski;zachodniopomorskie;14 043;19,5 km?
326;W¹brzeŸno;w¹brzeski;kujawsko-pomorskie;14 040;9 km?
327;S³upca;s³upecki;wielkopolskie;14 019;10 km?
328;Tuchola;tucholski;kujawsko-pomorskie;13 949;17,7 km?
329;Go³dap;go³dapski;warmiñsko-mazurskie;13 808;17,2 km?
330;W³odawa;w³odawski;lubelskie;13 643;18 km?
331;Wolsztyn;wolsztyñski;wielkopolskie;13 586;4,8 km?
332;Koluszki;³ódzki wschodni;³ódzkie;13 419;9,9 km?
333;K³obuck;k³obucki;œl¹skie;13 246;47,5 km?
334;Z³ocieniec;drawski;zachodniopomorskie;13 224;32,3 km?
335;Rabka-Zdrój;nowotarski;ma³opolskie;13 154;36,3 km?
336;Brwinów;pruszkowski;mazowieckie;13 090;10,1 km?
337;Mosina;poznañski;wielkopolskie;13 065;13,5 km?
338;G³ubczyce;g³ubczycki;opolskie;12 990;12,5 km?
339;Trzebnica;trzebnicki;dolnoœl¹skie;12 945;8,4 km?
340;Golub-Dobrzyñ;golubsko-dobrzyñski;kujawsko-pomorskie;12 945;8 km?
341;S³awno;s³awieñski;zachodniopomorskie;12 898;16 km?
342;Pyrzyce;pyrzycki;zachodniopomorskie;12 816;38,8 km?
343;Wêgrów;wêgrowski;mazowieckie;12 796;36 km?
344;Wo³ów;wo³owski;dolnoœl¹skie;12 646;18,5 km?
345;Brzeziny;brzeziñski;³ódzkie;12 577;22 km?
346;B³onie;warszawski zachodni;mazowieckie;12 570;9,1 km?
347;Strzelin;strzeliñski;dolnoœl¹skie;12 556;10,3 km?
348;Brzeg Dolny;wo³owski;dolnoœl¹skie;12 536;17,2 km?
349;Lubaczów;lubaczowski;podkarpackie;12 517;26 km?
350;Aleksandrów Kujawski;aleksandrowski;kujawsko-pomorskie;12 515;7 km?
351;Pas³êk;elbl¹ski;warmiñsko-mazurskie;12 453;10,6 km?
352;Góra;górowski;dolnoœl¹skie;12 403;13,7 km?
353;Mogilno;mogileñski;kujawsko-pomorskie;12 369;8,3 km?
354;Szprotawa;¿agañski;lubuskie;12 329;11 km?
355;Janów Lubelski;janowski;lubelskie;12 092;14,8 km?
356;Szyd³owiec;szyd³owiecki;mazowieckie;12 064;21,9 km?
357;Krosno Odrzañskie;kroœnieñski;lubuskie;11 983;8,2 km?
358;Zdzieszowice;krapkowicki;opolskie;11 978;12,4 km?
359;Drawsko Pomorskie;drawski;zachodniopomorskie;11 878;22,3 km?
360;D¹browa Tarnowska;d¹browski;ma³opolskie;11 846;23,1 km?
361;Miechów;miechowski;ma³opolskie;11 832;15,5 km?
362;Milicz;milicki;dolnoœl¹skie;11 758;13,5 km?
363;Warka;grójecki;mazowieckie;11 727;26,8 km?
364;Wêgorzewo;wêgorzewski;warmiñsko-mazurskie;11 699;10,9 km?
365;Góra Kalwaria;piaseczyñski;mazowieckie;11 685;13,7 km?
366;Brzeszcze;oœwiêcimski;ma³opolskie;11 637;19 km?
367;Myœlibórz;myœliborski;zachodniopomorskie;11 614;15 km?
368;Wronki;szamotulski;wielkopolskie;11 549;5,8 km?
369;Kowary;jeleniogórski;dolnoœl¹skie;11 537;37 km?
370;Nowa Dêba;tarnobrzeski;podkarpackie;11 507;16,7 km?
371;Puck;pucki;pomorskie;11 396;5 km?
372;Koronowo;bydgoski;kujawsko-pomorskie;11 384;28,2 km?
373;Radzymin;wo³omiñski;mazowieckie;11 378;23,4 km?
374;RogoŸno;obornicki;wielkopolskie;11 309;11,2 km?
375;Piñczów;piñczowski;œwiêtokrzyskie;11 306;14,3 km?
376;Wis³a;cieszyñski;œl¹skie;11 261;109 km?
377;Czarnków;czarnkowsko-trzcianecki;wielkopolskie;11 256;10 km?
378;Nowe Miasto Lubawskie;nowomiejski;warmiñsko-mazurskie;11 241;11 km?
379;Krynica-Zdrój;nowos¹decki;ma³opolskie;11 165;39,7 km?
380;Parczew;parczewski;lubelskie;10 953;8,1 km?
381;Miastko;bytowski;pomorskie;10 926;5,7 km?
